HG01969-GS000016666-ASM	63413a752b8c09cd763ef37da353cfc1+52870
HG01970-GS000016665-ASM	0186c2c7bfd0b685ead4044516481f82+52869
HG01971-GS000017156-ASM	298b788955ff49e78ebc1253a40940a1+52872
HG01972-GS000017132-ASM	96426285fc5ae18d2c3302219fa137b2+52870
HG01973-GS000017130-ASM	26770a03c87157c7325bcb10df593373+52861
HG01974-GS000017158-ASM	7e4477c421ea2c468f73cb6f213b6097+52865
HG01975-GS000017271-ASM	931326adc59aa7bccce8448ef53850a3+52859
HG01976-GS000017160-ASM	3524964118524054af7ea1876d9dfffc+52865
HG01977-GS000016364-ASM	92de2d03927ce68a6136ac08f6688617+52870
HG01978-GS000017124-ASM	1fcd30d10d7ef4ec6f41fecb797a280f+52866
HG01979-GS000017123-ASM	3f782ca9982de992e567984a9a8717b8+52875
HG01980-GS000017122-ASM	1edf291a8e3bd3c14f47092ff22f69ce+52870
HG01981-GS000017103-ASM	080f40c7c41ff21a99572939b367d75a+52869
HG01991-GS000017121-ASM	7accfd1f54317297bc17bddff32b3e38+52870
HG01992-GS000017118-ASM	9e3dd0298250846d39c3933a8fa10638+52858
HG01993-GS000017104-ASM	80ab2411d1d0b27f1d92995168aed276+52862
HG01997-GS000017117-ASM	6f4af721f791d0998b92f95cc6b039f2+52861
HG01998-GS000017115-ASM	ed618f6f3c445afdf05464073831f5f2+52869
HG02003-GS000017113-ASM	839b428fa905e3924ad7e43ae2c45601+52862
HG02004-GS000017112-ASM	289ef0207504ae953e22243dc8bc307b+52862
HG02008-GS000017110-ASM	1441b7f9cfe5926d8c57bbf98cb25b8f+52867
HG02024-GS000012106-ASM	870fd48057a2cdfc176d5041c682430b+52869
HG02024-GS000017236-ASM	cea9581f8f53caecb0e6e1a04dd06575+52865
HG02025-GS000012107-ASM	f11bea09c8ed60c94a7328decb3231b0+52868
HG02025-GS000017183-ASM	7232b608b070c45cfbfe981004564525+52863
HG02026-GS000017184-ASM	70b7cbf81bac8d9a26887fbb3e662087+52870
HG02026-GS000017897-ASM	84263ca4b5ec35321c5141fd8bc18e9f+52872
HG02089-GS000017109-ASM	c3dc88fdad49058ee5a30938abbfb3ce+52869
HG02090-GS000017107-ASM	b54bf41d3dafdfcbc34a1dbbf78c8da8+52884
HG02091-GS000016958-ASM	5968c1d0e18d4331e4a19b4eff081755+52870
HG02104-GS000016344-ASM	169793e3b64c1c96e011e11f6a63fcf0+52870
HG02105-GS000016959-ASM	41e6527708204ea028d30a358266af18+52860
HG02106-GS000016960-ASM	14c853965e013f8ac9014395a8f91307+52860
HG02146-GS000016342-ASM	a6c5b7838eed59f31641603738a18f5d+52867
HG02147-GS000016341-ASM	d62c9ba7125ff0c50eb978f8159173bc+52861
HG02148-GS000016961-ASM	9c84cb1d9c8f7bdd297054ee2bdd8d37+52859
HG02259-GS000016052-ASM	f45e5b5f343ecff14eb21f46c24184a6+52866
HG02260-GS000016826-ASM	a624dcce90020d1b8cecdbfeeca992f1+52860
HG02261-GS000016827-ASM	8080ee0e39b69e441334936c67b939ee+52866
HG02271-GS000017178-ASM	a96014b60fb47b445c0519d99228352b+52866
HG02272-GS000017901-ASM	b352260e4d33b4911fd9e1f521dd846e+52859
HG02273-GS000017721-ASM	ca235c41a73476be7f20fdfa85595a1a+52859
HG02277-GS000016049-ASM	e89828986af6d442569b23ca805d0168+52875
HG02278-GS000017134-ASM	a52688dedc24ac374fa78386a305b3a6+52861
HG02279-GS000017135-ASM	a09c16e5e65bbfd6b63b0db3d6e3c3a0+52873
